구분,지역,시험종류,연도,회차,시험구분,임용기관,직렬,직류,직급,대상,선발,접수,합격선,원본파일명
A,서울,공무원,2023,1회,공개경쟁,,환경,일반환경,9급,일반,7,98,87,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설,일반토목,9급,일반,174,579,50,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설,일반토목,9급,장애인,16,1,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설,일반토목,9급,저소득층,21,10,58,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설,건축,9급,일반,111,465,68,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설,건축,9급,장애인,14,9,59,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설,건축,9급,저소득층,15,13,55,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,방재안전,방재안전,9급,일반,64,313,78,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,방재안전,방재안전,9급,저소득층,6,13,62,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,방송통신,통신기술,9급,일반,32,193,75,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,방송통신,통신기술,9급,장애인,2,2,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,방송통신,통신기술,9급,저소득층,2,3,70,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설관리,기계시설,9급,일반,27,274,75,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설관리,기계시설,9급,장애인,1,11,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
