지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
경기,공무원,2024,1회,공개경쟁,화성시,,행정,일반행정,9급,일반,60,692,,,556,,,,81,,85,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,성남시,,행정,일반행정,9급,일반,39,689,,,500,,,,50,,85,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,부천시,,행정,일반행정,9급,일반,29,561,,,423,,,,41,,86,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,남양주시,,행정,일반행정,9급,일반,6,219,,,153,,,,9,,86,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,안산시,,행정,일반행정,9급,일반,18,288,,,223,,,,24,,80,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,평택시,,행정,일반행정,9급,일반,36,465,,,372,,,,46,,84,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,안양시,,행정,일반행정,9급,일반,26,387,,,285,,,,34,,83,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,시흥시,,행정,일반행정,9급,일반,52,678,,,553,,,,73,,86,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,파주시,,행정,일반행정,9급,일반,10,245,,,194,,,,13,,87,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,김포시,,행정,일반행정,9급,일반,6,165,,,117,,,,8,,81,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,의정부시,,행정,일반행정,9급,일반,2,173,,,121,,,,4,,81,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,광주시,,행정,일반행정,9급,일반,32,442,,,365,,,,50,,86,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,하남시,,행정,일반행정,9급,일반,1,99,,,75,,,,4,,83,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,광명시,,행정,일반행정,9급,일반,7,163,,,129,,,,11,,84,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,군포시,,행정,일반행정,9급,일반,34,374,,,294,,,,48,,85,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,양주시,,행정,일반행정,9급,일반,32,472,,,376,,,,46,,86,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,오산시,,행정,일반행정,9급,일반,7,89,,,66,,,,9,,82,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,이천시,,행정,일반행정,9급,일반,33,234,,,194,,,,42,,81,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,안성시,,행정,일반행정,9급,일반,18,184,,,153,,,,28,,84,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,구리시,,행정,일반행정,9급,일반,9,184,,,151,,,,12,,87,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,의왕시,,행정,일반행정,9급,일반,11,107,,,88,,,,15,,82,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,포천시,,행정,일반행정,9급,일반,21,196,,,162,,,,30,,82,,81,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,양평군,,행정,일반행정,9급,일반,16,116,,,102,,,,25,,77,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,여주시,,행정,일반행정,9급,일반,8,85,,,77,,,,12,,79,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,동두천시,,행정,일반행정,9급,일반,5,74,,,55,,,,8,,83,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,과천시,,행정,일반행정,9급,일반,7,99,,,74,,,,11,,87,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,가평군,,행정,일반행정,9급,일반,22,112,,,89,,,,30,,70,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,연천군,,행정,일반행정,9급,일반,7,92,,,77,,,,12,,80,,79,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,경기도의회,,행정,일반행정,9급,일반,2,54,,,27,,,,4,,87,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,고양시의회,,행정,일반행정,9급,일반,4,42,,,33,,,,6,,84,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,성남시의회,,행정,일반행정,9급,일반,3,30,,,19,,,,5,,85,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,안양시의회,,행정,일반행정,9급,일반,1,11,,,7,,,,2,,72,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,시흥시의회,,행정,일반행정,9급,일반,1,12,,,7,,,,3,,82,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,파주시의회,,행정,일반행정,9급,일반,2,18,,,15,,,,4,,86,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,하남시의회,,행정,일반행정,9급,일반,1,22,,,13,,,,4,,82,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,광명시의회,,행정,일반행정,9급,일반,1,12,,,10,,,,3,,79,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,양주시의회,,행정,일반행정,9급,일반,1,16,,,8,,,,3,,69,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,오산시의회,,행정,일반행정,9급,일반,1,13,,,7,,,,3,,69,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,안성시의회,,행정,일반행정,9급,일반,2,19,,,16,,,,5,,79,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,의왕시의회,,행정,일반행정,9급,일반,2,19,,,11,,,,4,,83,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,포천시의회,,행정,일반행정,9급,일반,1,15,,,9,,,,3,,70,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,과천시의회,,행정,일반행정,9급,일반,1,9,,,7,,,,3,,77,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,가평군의회,,행정,일반행정,9급,일반,2,22,,,16,,,,4,,70,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,연천군의회,,행정,일반행정,9급,일반,1,9,,,8,,,,3,,61,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
