그룹,그룹줄수,지역,시험종류,연도,회차,시험구분,임용기관,직군,직렬,직류,직급,대상,선발,접수,응시,합격선,원본파일명
97,2,서울,공무원,2025,2회,공개경쟁,,과학기술직군,공업,일반화공,7급,일반,1,132,56,80,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
97,2,서울,공무원,2025,2회,공개경쟁,,기술직군,공업,일반화공,7급,일반,1,132,56,80,서울 7급 현황+합격선 병합
98,2,서울,공무원,2025,2회,공개경쟁,,과학기술직군,녹지,산림자원,7급,일반,2,136,67,82,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
98,2,서울,공무원,2025,2회,공개경쟁,,기술직군,녹지,산림자원,7급,일반,2,136,67,82,서울 7급 현황+합격선 병합
99,2,서울,공무원,2025,2회,공개경쟁,,과학기술직군,녹지,조경,7급,일반,2,161,55,66,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
99,2,서울,공무원,2025,2회,공개경쟁,,기술직군,녹지,조경,7급,일반,2,161,55,66,서울 7급 현황+합격선 병합
100,2,서울,공무원,2025,2회,공개경쟁,,과학기술직군,시설,일반토목,7급,일반,15,413,156,66,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
100,2,서울,공무원,2025,2회,공개경쟁,,기술직군,시설,일반토목,7급,일반,15,413,156,66,서울 7급 현황+합격선 병합
101,2,서울,공무원,2025,2회,공개경쟁,,과학기술직군,시설,건축,7급,일반,6,313,104,74,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
101,2,서울,공무원,2025,2회,공개경쟁,,기술직군,시설,건축,7급,일반,6,313,104,74,서울 7급 현황+합격선 병합
102,2,서울,공무원,2025,2회,공개경쟁,,행정직군,행정,일반행정,7급,장애인,3,92,43,77,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
102,2,서울,공무원,2025,2회,공개경쟁,,행정직군,행정,일반행정,7급,장애인,3,92,43,77,서울 7급 현황+합격선 병합
103,2,서울,공무원,2025,2회,공개경쟁,,과학기술직군,시설,일반토목,7급,장애인,1,2,1,,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
103,2,서울,공무원,2025,2회,공개경쟁,,기술직군,시설,일반토목,7급,장애인,1,2,1,,서울 7급 현황+합격선 병합
104,2,서울,공무원,2025,2회,공개경쟁,,과학기술직군,시설,건축,7급,장애인,1,8,4,60,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
104,2,서울,공무원,2025,2회,공개경쟁,,기술직군,시설,건축,7급,장애인,1,8,4,60,서울 7급 현황+합격선 병합
105,2,인천,공무원,2025,1회,공개경쟁,시·구,,공업,일반기계,9급,일반,22,67,42,58,2025 인천.pdf
105,2,인천,공무원,2025,1회,공개경쟁,시·구,,공업,일반기계,9급,일반,1,2,1,,2025년도 인천광역시 지방공무원 7급 필기시험 통계자료(공개용).pdf
106,2,인천,공무원,2025,1회,공개경쟁,시·구,,시설,일반토목,9급,일반,33,175,144,70,2025 인천.pdf
106,2,인천,공무원,2025,1회,공개경쟁,시·구,,시설,일반토목,9급,일반,1,1,1,,2025년도 인천광역시 지방공무원 7급 필기시험 통계자료(공개용).pdf
107,2,인천,공무원,2025,1회,공개경쟁,시·구,,시설,건축,9급,일반,33,121,85,55,2025 인천.pdf
107,2,인천,공무원,2025,1회,공개경쟁,시·구,,시설,건축,9급,일반,1,1,1,99.67,2025년도 인천광역시 지방공무원 7급 필기시험 통계자료(공개용).pdf
108,2,인천,공무원,2025,1회,공개경쟁,시·구,,시설관리,전기시설,9급,일반,3,26,13,71.66,2025 인천.pdf
108,2,인천,공무원,2025,1회,공개경쟁,시·구,,시설관리,전기시설,9급,일반,1,2,2,,2025년도 인천광역시 지방공무원 7급 필기시험 통계자료(공개용).pdf
