지역,연도,회차,시험구분,임용기관,직군,직렬,직류,대상,선발,접수,응시,합격선,원본파일명
인천,2024,1회,공개경쟁,시·구,,행정,일반행정,일반,2,423,220,93,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf
인천,2024,2회,공개경쟁,시·구,행정직군,행정,일반행정,일반,2,423,220,93,인천 7급 통계자료(합격선=평균)
