지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
서울,공무원,2023,1회,공개경쟁,,기술직군,농업,일반농업,9급,일반,6,113,72,18.8:1,66,42,58.4,11.0:1,10,6,90,,,6,3,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,산림자원,9급,일반,29,184,102,6.3:1,132,80,71.7,4.6:1,38,26,86,,,32,22,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,산림자원,9급,장애인,3,4,1,1.3:1,3,0,75.0,1.0:1,1,0,71,,,1,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,산림자원,9급,저소득층,3,11,6,3.7:1,8,5,72.7,2.7:1,5,4,60,,,3,2,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,조경,9급,일반,30,212,155,7.1:1,148,117,69.8,4.9:1,40,31,78,,,33,25,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,조경,9급,장애인,3,2,1,0.7:1,1,0,50.0,0.3:1,1,0,72,,,1,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,조경,9급,저소득층,4,4,1,1.0:1,2,1,50.0,0.5:1,1,0,73,,,1,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,보건,보건,9급,일반,3,454,399,151.3:1,294,257,64.8,98.0:1,8,7,94,,,3,2,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,보건,보건,9급,장애인,1,19,9,19.0:1,15,6,78.9,15.0:1,3,1,87,,,1,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,환경,일반환경,9급,일반,7,98,60,14.0:1,63,38,64.3,9.0:1,10,6,87,,,7,3,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
