지역,연도,회차,임용기관,직군,직렬,직류,대상,선발,접수,응시,합격선,원본파일명,중복그룹
경북,2024,2회,영덕군,행정직군,행정,일반행정,장애인,1,1,1,64,2024년도 경북 지방직 7급 합격선.pdf,
광주,2024,2회,,기술직군,수의,수의,일반,2,4,1,,광주 7급 응시율+합격선 병합,
대전,2024,2회,,행정직군,행정,일반행정,일반,2,501,260,93.00,대전 7급 응시율+합격선 병합,
부산,2024,2회,,행정직군,행정,일반행정,일반,5,585,10,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,2024,,,행정직군,행정,일반행정,일반,5,,585,94.00,부산 7급 응시율/합격선 병합,
서울,2024,3회,,행정직군,행정,감사,일반,2,196,67,91,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,2024,3회,,기술직군,시설,지적,일반,1,59,16,85,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,2024,3회,,행정직군,감사,감사,일반,2,196,67,91,서울 7급 현황+합격선 병합,
세종,2024,2회,,행정직군,행정,일반행정,일반,4,269,,93.00,세종 7급 응시현황+합격선 병합,
울산,2024,,,행정직군,행정,일반행정,일반,2,229,123,93.00,울산 7급 2024 응시현황+합격선,
인천,2024,1회,시·구,,행정,일반행정,일반,2,423,220,93,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,2024,2회,시·구,행정직군,행정,일반행정,일반,2,423,220,93,인천 7급 통계자료(합격선=평균),
전남,2024,5회,도일괄,행정직군,행정,일반행정,일반,15,881,,93,전남 7급 행정(일반행정) 도일괄,
전북,2024,4회,전북특별자치도,행정직군,행정,일반행정,일반,10,583,302,93.0,전북 7급 시·군별 응시현황+합격선 병합,
전북,2024,4회,전주시,행정직군,행정,일반행정,일반,2,111,50,89.0,전북 7급 시·군별 응시현황+합격선 병합,
충남,2024,2회,충청남도,행정직군,행정,일반행정,일반,2,330,152,95,충남 7급 행정(일반행정) 응시현황+합격선,
충남,2024,2회,예산군,행정직군,행정,일반행정,일반,1,51,30,86,충남 7급 행정(일반행정) 응시현황+합격선,
충북,2024,2회,충청북도,행정직군,행정,일반행정,일반,3,388,,93.00,충북 7급 행정(일반행정) 응시현황+합격선,
경기,2025,2회,경기도,행정직군,행정,일반행정,일반,16,1721,876,87,2025년도 제2회 경기도 지방공무원 공개경쟁임용 필기시험 합격선.pdf,
경기,2025,2회,경기도,행정직군,행정,일반행정,장애인,5,56,27,66,2025년도 제2회 경기도 지방공무원 공개경쟁임용 필기시험 합격선.pdf,
경기,2025,2회,경기도,기술직군,농업,일반농업,일반,2,46,20,87,2025년도 제2회 경기도 지방공무원 공개경쟁임용 필기시험 합격선.pdf,
경기,2025,2회,경기도,기술직군,농업,일반농업,장애인,1,0,,,2025년도 제2회 경기도 지방공무원 공개경쟁임용 필기시험 합격선.pdf,
경기,2025,2회,경기도,기술직군,농업,축산,일반,2,42,21,77,2025년도 제2회 경기도 지방공무원 공개경쟁임용 필기시험 합격선.pdf,
경기,2025,2회,경기도,기술직군,환경,일반환경,일반,1,58,21,71,2025년도 제2회 경기도 지방공무원 공개경쟁임용 필기시험 합격선.pdf,
경기,2025,2회,경기도,기술직군,환경,일반환경,장애인,1,0,,,2025년도 제2회 경기도 지방공무원 공개경쟁임용 필기시험 합격선.pdf,
경기,2025,2회,경기도,기술직군,시설,일반토목,일반,2,47,11,58,2025년도 제2회 경기도 지방공무원 공개경쟁임용 필기시험 합격선.pdf,
경기,2025,2회,경기도,기술직군,시설,일반토목,장애인,1,0,,,2025년도 제2회 경기도 지방공무원 공개경쟁임용 필기시험 합격선.pdf,
경남,2025,2회,창원시,행정직군,행정,일반행정,일반,2,406,194,85.00,경남 7급 응시율+합격선 병합(창원시 일반행정),
경북,2025,2회,경상북도,행정직군,행정,일반행정,일반,5,325,149,87,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,포항시,행정직군,행정,일반행정,일반,1,83,30,80,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,김천시,행정직군,행정,일반행정,일반,1,45,22,85,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,안동시,행정직군,행정,일반행정,일반,1,61,36,90,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,구미시,행정직군,행정,일반행정,일반,1,59,32,83,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,상주시,행정직군,행정,일반행정,일반,1,33,15,72,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,영양군,행정직군,행정,일반행정,일반,1,42,23,72,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,고령군,행정직군,행정,일반행정,일반,1,33,14,71,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,성주군,행정직군,행정,일반행정,일반,1,37,23,81,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,칠곡군,행정직군,행정,일반행정,일반,1,62,25,74,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,봉화군,행정직군,행정,일반행정,일반,1,43,19,77,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
경북,2025,2회,청송군,행정직군,행정,일반행정,장애인,1,5,1,,2025년도 경상북도 지방공무원 7급 공개경쟁임용시험 필기시험 합격선.pdf,
대전,2025,3회,,행정직군,행정,일반행정,일반,2,461,220,,대전 7급 응시율+합격선 병합,
부산,2025,,,행정직군,행정,일반행정,일반,10,,564,87,부산 7급 응시율/합격선 병합,
서울,2025,2회,,행정직군,행정,감사,일반,2,253,87,81,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,2025,2회,,과학기술직군,시설,지적,일반,2,59,19,65,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,2025,2회,,행정직군,감사,감사,일반,2,253,87,81,서울 7급 현황+합격선 병합,
세종,2025,2회,,행정직군,행정,일반행정,일반,4,263,150,85.00,세종 7급 응시현황+합격선 병합,
인천,2025,1회,시·구,,행정,일반행정,일반,2,417,212,86,2025년도 인천광역시 지방공무원 7급 필기시험 통계자료(공개용).pdf,
인천,2025,2회,시·구,행정직군,행정,일반행정,일반,2,417,212,86,인천 7급 통계자료(합격선=평균),
전남,2025,5회,도일괄,행정직군,행정,일반행정,일반,15,724,376,85,전남 7급 행정(일반행정) 도일괄,
전북,2025,4회,전북특별자치도,행정직군,행정,일반행정,일반,15,550,285,81.0,전북 7급 시·군별 응시현황+합격선 병합,
전북,2025,4회,전주시,행정직군,행정,일반행정,일반,2,112,58,89.0,전북 7급 시·군별 응시현황+합격선 병합,
충남,2025,3회,충청남도,행정직군,행정,일반행정,일반,3,336,150,85,충남 7급 행정(일반행정) 응시현황+합격선,
충북,2025,2회,충청북도,행정직군,행정,일반행정,일반,2,306,144,85.00,충북 7급 행정(일반행정) 응시현황+합격선,
