지역,연도,회차,시험구분,임용기관,직급,직렬,직류,대상,선발,접수,합격선,원본파일명
서울,2023,1회,공개경쟁,,9급,행정,일반행정,일반,585,12006,91,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
서울,2023,1회,공개경쟁,,9급,행정,일반행정,지방의회,31,625,92,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
서울,2023,1회,공개경쟁,,9급,행정,일반행정,장애인,37,269,59,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
서울,2023,1회,공개경쟁,,9급,행정,일반행정,저소득층,72,454,72,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
